# Simulation Parameters:
#   Number of sims: 1000
#   L reduction count: None
#   M reduction count: None
#   M ignore count: [2, 2, 3]
#   H ignore count: [2, 2, 3]
#   L threshold: [6, 6, 7]
#   M threshold: [7, 8, 9]
#   H threshold: [9, 10, 10]
#   True-dmg: 0

upgrade_tier,upgrade_tier_name,pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
0,Normal,2,"10,918","10,918","9,953","9,299","7,214","0,09","0,15","0,34","-0,06","-0,19"
0,Normal,3,"16,473","16,473","14,503","12,545","8,461","0,12","0,24","0,49","-0,12","-0,25"
0,Normal,4,"22,17","22,17","19,485","16,647","12,007","0,12","0,25","0,46","-0,13","-0,21"
0,Normal,5,"27,674","27,674","24,279","20,423","15,968","0,12","0,26","0,42","-0,14","-0,16"
0,Normal,6,"32,834","32,834","29,135","24,87","20,241","0,11","0,24","0,38","-0,13","-0,14"
0,Normal,7,"38,275","38,275","34,168","29,21","25,064","0,11","0,24","0,35","-0,13","-0,11"
0,Normal,8,"44,495","44,495","40,258","34,969","30,887","0,1","0,21","0,31","-0,12","-0,09"
1,Special,2,"11,196","11,196","10,331","8,74","3,915","0,08","0,22","0,65","-0,14","-0,43"
1,Special,3,"16,786","16,786","14,592","11,103","3,491","0,13","0,34","0,79","-0,21","-0,45"
1,Special,4,"22,333","22,333","18,656","14,447","7,38","0,16","0,35","0,67","-0,19","-0,32"
1,Special,5,"27,559","27,559","22,638","18,042","11,842","0,18","0,35","0,57","-0,17","-0,22"
1,Special,6,"33,207","33,207","27,309","22,595","16,759","0,18","0,32","0,5","-0,14","-0,18"
1,Special,7,"38,447","38,447","31,748","27,356","21,601","0,17","0,29","0,44","-0,11","-0,15"
1,Special,8,"43,657","43,657","36,322","32,141","26,41","0,17","0,26","0,4","-0,1","-0,13"
2,Uniques,2,"11,146","11,146","9,556","7,509","3,914","0,14","0,33","0,65","-0,18","-0,32"
2,Uniques,3,"16,75","16,75","13,213","8,847","3,315","0,21","0,47","0,8","-0,26","-0,33"
2,Uniques,4,"22,316","22,316","16,284","10,665","3,234","0,27","0,52","0,86","-0,25","-0,33"
2,Uniques,5,"27,607","27,607","19,615","13,263","6,566","0,29","0,52","0,76","-0,23","-0,24"
2,Uniques,6,"32,776","32,776","22,878","15,987","10,542","0,3","0,51","0,68","-0,21","-0,17"
2,Uniques,7,"38,29","38,29","27,053","20,52","14,899","0,29","0,46","0,61","-0,17","-0,15"
2,Uniques,8,"44,487","44,487","32,072","25,582","20,267","0,28","0,42","0,54","-0,15","-0,12"
