# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 2
#   M reduction count: 1
#   M ignore count: 1
#   H ignore count: 2
#   L threshold: 8
#   M threshold: 9
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","10,1092","7,3043","5,8022","0,08","0,34","0,47","-0,25","-0,14"
3,"16,6143","16,6143","14,6007","10,2722","6,1213","0,12","0,38","0,63","-0,26","-0,25"
4,"22,0407","22,0407","19,1942","14,3207","9,2602","0,13","0,35","0,58","-0,22","-0,23"
5,"27,4887","27,4887","24,0336","18,9114","13,5675","0,13","0,31","0,51","-0,19","-0,19"
6,"32,9156","32,9156","29,045","23,8771","18,2967","0,12","0,27","0,44","-0,16","-0,17"
7,"38,43","38,43","34,2596","29,014","23,2254","0,11","0,25","0,4","-0,14","-0,15"
8,"43,9568","43,9568","39,5658","34,2344","28,3571","0,1","0,22","0,35","-0,12","-0,13"

# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 2
#   M reduction count: 1
#   M ignore count: 2
#   H ignore count: 3
#   L threshold: 7
#   M threshold: 9
#   H threshold: 10
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,3999","7,3043","5,8022","0,15","0,34","0,47","-0,19","-0,14"
3,"16,6143","16,6143","13,1708","8,7403","6,1213","0,21","0,47","0,63","-0,27","-0,16"
4,"22,0407","22,0407","16,9008","10,8459","6,5422","0,23","0,51","0,7","-0,27","-0,2"
5,"27,4887","27,4887","20,9183","13,9991","9,3026","0,24","0,49","0,66","-0,25","-0,17"
6,"32,9156","32,9156","25,1197","18,1249","13,153","0,24","0,45","0,6","-0,21","-0,15"
7,"38,43","38,43","29,8022","22,6939","17,4826","0,22","0,41","0,55","-0,18","-0,14"
8,"43,9568","43,9568","34,6413","27,5019","22,1783","0,21","0,37","0,5","-0,16","-0,12"

# Simulation Parameters:
#   Number of sims: 10000
#   L reduction count: 4
#   M reduction count: 2
#   M ignore count: 2
#   H ignore count: 4
#   L threshold: 9
#   M threshold: 10
#   H threshold: 11
#   True-dmg: 0

pool_size,base_avg,avg_nrml_dmg,L_avg,M_avg,H_avg,L_red,M_red,H_red,L_to_M_red,M_to_H_red
2,"11,0069","11,0069","9,0176","5,8022","3,8572","0,18","0,47","0,65","-0,29","-0,18"
3,"16,6143","16,6143","12,3627","6,1213","3,0563","0,26","0,63","0,82","-0,38","-0,18"
4,"22,0407","22,0407","15,6192","7,7374","2,5342","0,29","0,65","0,89","-0,36","-0,24"
5,"27,4887","27,4887","18,8928","10,0443","2,1855","0,31","0,63","0,92","-0,32","-0,29"
6,"32,9156","32,9156","22,673","13,4949","5,3149","0,31","0,59","0,84","-0,28","-0,25"
7,"38,43","38,43","27,0154","17,6401","9,0265","0,3","0,54","0,77","-0,24","-0,22"
8,"43,9568","43,9568","31,697","22,2493","13,1469","0,28","0,49","0,7","-0,21","-0,21"

